Star,RA,Dec,Period,Method,Gaia_Dist,Calc_Dist,Dust_Av,Status
OGLE SMC-RRLYR-2715,0.5011655949500001,-76.55427715817,0.8173,RR_Lyrae(K),,3249.1,0.00,No Gaia Ref
CRTS J201409.3-464306,303.53936577201,-46.71810627266,13.1736,Cepheid(IR),,44706.2,0.00,No Gaia Ref
NSV 14088,334.21840541306,-51.73351808297,0.6405,RR_Lyrae(V),,2691.5,0.00,No Gaia Ref
SOPS   IV e-6,237.43321981899,-23.83271818125,16.5954,Cepheid(IR),,15302.7,0.00,No Gaia Ref
V* RW Col,90.91073647527,-31.590276853880003,0.5459,RR_Lyrae(K),,2862.1,0.00,No Gaia Ref
CRTS J210124.7-104054,315.35310559525,-10.68175656752,14.6464,None,,0,0.00,Processing
V* V604 Vir,226.55307551774,2.9158629217000005,0.5011,RR_Lyrae(K),,2828.4,0.00,No Gaia Ref
V* CM UMa,145.80742227727,49.49380954708,0.5879,RR_Lyrae(K),,2938.4,0.00,No Gaia Ref
CRTS J144052.5-351341,220.21884608612,-35.22810154861,16.3607,None,,0,0.00,Processing
V* CI Ari,50.77289947122,18.57921078537,0.5222,RR_Lyrae(K),,2611.7,0.00,No Gaia Ref
CRTS J063313.7-231000,98.30706317252,-23.16656665729,0.5299,RR_Lyrae(V),,2691.5,0.00,No Gaia Ref
V* RW Equ,316.54333463812,10.38508977493,0.5582,RR_Lyrae(K),,2736.6,0.00,No Gaia Ref
CRTS J152922.7+204656,232.3448621310871,20.782197454510836,25.1100,None,,0,0.00,Processing
CRTS J043036.6-360822,67.65293647887,-36.13982372561999,30.4020,None,,0,0.00,Processing
V* VW Cap,316.04620501159,-17.449134857849998,14.3898,Cepheid(IR),,46672.6,0.00,No Gaia Ref
V* V442 Her,273.24347350513,42.0627635944,0.5105,RR_Lyrae(K),,2658.9,0.00,No Gaia Ref
Cl* NGC 6121    SAW V26,245.92348803487,-26.54479567549,0.5417,RR_Lyrae(K),,2085.1,0.00,No Gaia Ref
NSV 11385,282.9510468035,-59.88728990439999,0.5718,RR_Lyrae(V),,2691.5,0.00,No Gaia Ref
V* RV CMi,110.46088840161002,4.24456197935,0.6247,RR_Lyrae(K),,2500.2,0.00,No Gaia Ref
V* V Com,182.56626063859,27.43168509934,0.5004,RR_Lyrae(K),,3331.7,0.00,No Gaia Ref
ATO J327.2057-07.5098,327.20569320847585,-7.509813966827221,17.5506,Cepheid(IR),,55392.2,0.00,No Gaia Ref
V* WY Crv,190.92797313285,-13.85370053189,0.5854,RR_Lyrae(K),,2900.2,0.00,No Gaia Ref
ROTSE1 J193231.91+533034.8,293.1324450045299,53.51031049162,54.8126,Cepheid(IR),,112674.8,0.00,No Gaia Ref
V* IV Eri,65.31401693117,-35.30387710475001,0.6631,RR_Lyrae(K),,2743.2,0.00,No Gaia Ref
ROTSE1 J180139.87+480936.9,270.41703810304,48.16126139186,31.4102,Cepheid(IR),,81640.1,0.00,No Gaia Ref
V* AX UMa,174.61181456333,45.93496088513999,0.5338,RR_Lyrae(K),,3237.1,0.00,No Gaia Ref
CRTS J204253.3-224534,310.72226091734,-22.75944631573,0.6109,RR_Lyrae(V),,2679.2,0.00,No Gaia Ref
Cl* NGC 6121    SAW V42,246.00828688481,-26.37029945929,1.2749,Cepheid(IR),,5388.7,0.00,No Gaia Ref
V* BF Cet,6.766537155579999,0.67508711222,0.5103,RR_Lyrae(K),,3732.9,0.00,No Gaia Ref
V* V337 Pav,312.02688436945,-62.07999344550999,15.2932,Cepheid(IR),,49011.3,0.00,No Gaia Ref
CRTS J112837.6-122821,172.15676150018,-12.47272021805,500.0000,None,,0,0.00,Processing
C* 2043,193.7375392507,-57.96091887934,14.5958,Cepheid(IR),,10944.4,0.00,No Gaia Ref
V* TY Cam,83.3598625682,62.48747600962001,0.6687,RR_Lyrae(K),,2350.4,0.00,No Gaia Ref
V* CU Lib,235.8782773721392,-29.36720044620333,0.5069,RR_Lyrae(K),,2698.2,0.00,No Gaia Ref
ATO J222.4777+40.2303,222.47790548085,40.23038254615,0.5941,RR_Lyrae(V),,2666.9,0.00,No Gaia Ref
V* DD CrA,285.21342079202,-40.340279344,0.6105,RR_Lyrae(K),,5499.7,0.00,No Gaia Ref
NIKC 4-47,329.95057903723,50.636021663010006,14.4894,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J161517.6-225247,243.82386502509,-22.87965727376,16.5955,None,,0,0.00,Processing
CRTS J140608.9-193650,211.53733459557,-19.6141354294,500.0000,None,,0,0.00,Processing
V* V534 Her,276.15926989930995,19.873224909750004,0.5991,RR_Lyrae(K),,2320.2,0.00,No Gaia Ref
V* V458 Ser,234.79948506827,3.92348695048,11.9969,None,,0,0.00,Processing
CRTS J203544.7-225136,308.93676031704,-22.859975599540004,0.5919,RR_Lyrae(V),,2666.9,0.00,No Gaia Ref
ROTSE1 J141550.93+292851.4,213.9620775147,29.48139444129,16.9778,Cepheid(IR),,49690.8,0.00,No Gaia Ref
ATO J124.5805-03.6570,124.58053583497,-3.65697175229,0.5620,RR_Lyrae(V),,2666.9,0.00,No Gaia Ref
CRTS J065918.3+554029,104.8262350575,55.67494034158,15.8971,None,,0,0.00,Processing
FASTT  503,167.28468888415,0.12554312165,0.6861,RR_Lyrae(K),,2502.4,0.00,No Gaia Ref
CRTS J122741.3+103414,186.92265879836,10.5707225996,15.7383,None,,0,0.00,Processing
ATO J297.0199+02.1293,297.0199661592171,2.1293203847161117,0.7384,RR_Lyrae(K),,3371.4,0.00,No Gaia Ref
NSV 14422,346.84706157434994,-76.81894895346,32.5278,Cepheid(IR),,72666.9,0.00,No Gaia Ref
CRTS J044540.6-345844,71.41938856815,-34.97890462265,0.6583,RR_Lyrae(V),,2654.6,0.00,No Gaia Ref
CRTS J204803.3-063944,312.01364735011,-6.66245536857,25.2750,None,,0,0.00,Processing
CRTS J110011.7+014105,165.04900344016,1.6848021567999998,0.5079,RR_Lyrae(V),,2654.6,0.00,No Gaia Ref
V* V346 Lib,236.81856230114,-28.293457486990004,0.7203,RR_Lyrae(V),,2654.6,0.00,No Gaia Ref
ATO J322.9297+14.1100,322.92971728706,14.110016930280002,0.5404,RR_Lyrae(V),,2654.6,0.00,No Gaia Ref
V* EU CVn,190.96787225423,47.64182438587,0.5621,RR_Lyrae(K),,2712.8,0.00,No Gaia Ref
ATO J134.7051+55.0222,134.70512952873,55.02234337011999,0.6046,RR_Lyrae(V),,2654.6,0.00,No Gaia Ref
UNSW-V 420,139.15344739405,-21.73793384447,3.8183,Cepheid(IR),,17773.4,0.00,No Gaia Ref
ROTSE1 J175201.56+535615.1,268.00549799156,53.93703391797,0.5466,RR_Lyrae(K),,2714.9,0.00,No Gaia Ref
V* V2279 Sgr,306.76398475892,-40.67062969582,0.5048,RR_Lyrae(K),,3219.9,0.00,No Gaia Ref
V* AR Vir,223.6669959062,2.69519614131,0.5291,RR_Lyrae(K),,2462.5,0.00,No Gaia Ref
CRTS J222019.5-293115,335.08072878495,-29.52107829611,0.7388,RR_Lyrae(K),,3623.6,0.00,No Gaia Ref
OGLE GD-RRLYR-1417,148.66075684199,-62.67511723412001,13.6233,Cepheid(IR),,31472.9,0.00,No Gaia Ref
CRTS J152136.4-314413,230.40162902383,-31.73731957731,16.3609,None,,0,0.00,Processing
Cl* NGC 5139    SAW V175,200.59530433287,-48.31787071173,14.5957,Cepheid(IR),,40464.1,0.00,No Gaia Ref
ATO J301.9192+50.5733,301.9192567484217,50.57339447097195,0.5035,RR_Lyrae(K),,2470.2,0.00,No Gaia Ref
CRTS J205826.2-344913,314.60937721634,-34.820180458,0.8319,RR_Lyrae(K),,3058.9,0.00,No Gaia Ref
ATO J293.7626-15.9480,293.7626856561908,-15.948016333485556,0.5459,RR_Lyrae(K),,2657.6,0.00,No Gaia Ref
CRTS J010157.4-540408,15.488960596430005,-54.06902847251,0.5863,RR_Lyrae(V),,2642.4,0.00,No Gaia Ref
CRTS J042055.6-230250,65.23131056261,-23.04740635593,0.5805,RR_Lyrae(V),,2642.4,0.00,No Gaia Ref
CRTS J060258.7-083030,90.74421597237,-8.50773254326,500.0000,None,,0,0.00,Processing
V* YY Oct,294.29085848634,-75.61089122636,0.5718,RR_Lyrae(K),,2826.8,0.00,No Gaia Ref
V* XZ Oct,293.94779889447,-75.50786007711,0.5030,RR_Lyrae(K),,3229.4,0.00,No Gaia Ref
V* AU Sex,154.7512310553,-2.22483945578,0.7781,RR_Lyrae(K),,3239.0,0.00,No Gaia Ref
Cl* NGC 6121    SAW V27,245.92980289224,-26.45455206477,0.6123,RR_Lyrae(K),,1769.0,0.00,No Gaia Ref
2dFS  3602,20.75695048652,-72.57328031399,0.5055,RR_Lyrae(K),,3500.7,0.00,No Gaia Ref
ROTSE1 J180711.26+531539.5,271.79568033782994,53.26239359644,0.6346,RR_Lyrae(K),,3402.1,0.00,No Gaia Ref
DJM  73,103.33856752036,5.69335834153,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
DJM 123,107.21854010223,5.7995190983,14.8082,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J090929.1+130543,137.37112577663,13.095409813950004,1.0725,None,,0,0.00,Processing
HE 1250-1155,193.38697990985,-12.204449195660002,15.1882,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
