name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
WRAY 18-86,128.34407796979,-29.941427166490005,C,10.43,0.3056,0.0176,17.36,True
[D75b] Star 69,302.29327525702,21.950825250229997,"C2,5",10.44,0.6558,0.024,27.32,True
SOPS   IV e-73,143.2709425551,-41.30889734669001,R,10.44,0.6035,0.0206,29.3,True
SOPS    I e-9,266.56430796718996,-64.62122485881,R,10.44,0.4437,0.0159,27.91,True
HD 166129,272.57333297541,-26.64400057264,C,10.44,0.9237,0.022,41.99,True
[M51]  55,151.55871861541,-54.15038661443,C,10.44,0.3706,0.0202,18.35,True
WRAY 18-316,267.83351457334993,-39.37266298558,C,10.45,0.9985,0.0223,44.78,True
V* RY Col,78.78242440902,-41.62824299966,A7,10.45,0.976,0.0158,61.77,True
C* 1388,136.69997009187,-56.57291145046,C,10.45,0.3198,0.0194,16.48,True
V* IV Mon,104.09100258048,10.95805326258,"C6-,4",10.46,0.3265,0.0262,12.46,True
V* V1283 Her,264.65579586506,37.89907926377,,10.46,1.169,0.0135,86.59,True
V* NW Lib,226.00215533282,-2.851418447899999,"C4,3J",10.46,0.7802,0.0232,33.63,True
LEE 115,269.62857106906,13.198370805959998,"C3,3_CH",10.46,0.3208,0.0164,19.56,True
DO  4229,257.42192562413,0.47736223762000013,R,10.46,1.0194,0.0164,62.16,True
V* V746 Cen,192.10038213052997,-33.65807875362,,10.47,1.2241,0.0231,52.99,True
CPD-36  2231,124.59293462541001,-36.650597581,F6,10.47,0.9907,0.0123,80.54,True
V* V701 Pup,124.88688587047,-23.96939930723,,10.48,1.0232,0.0225,45.48,True
BD-04  4135,249.27300137734,-4.427249998449999,R0,10.48,1.909,0.0184,103.75,True
V* VX Hya,146.44521899832,-12.00399950065,F2-8Ib,10.485,1.0714,0.0175,61.22,True
V* EZ Per,58.02953851554,43.76849372786,"C5,4",10.49,0.6643,0.0343,19.37,True
C*  732,110.57475399403002,-7.380601338329999,R0,10.49,0.595,0.0162,36.73,True
IRC +70172,324.82613796965995,65.7776553551,N,10.49,0.4668,0.0229,20.38,True
V* HX Gem,97.91559397621,16.11449968788,"C4,4",10.49,0.5415,0.0314,17.25,True
LEE  76,105.12122652657001,5.197025342610001,"C5,4",10.49,0.2941,0.0328,8.97,True
V* LX Cyg,328.98760943862,48.347922966910005,C,10.49,0.3528,0.0279,12.65,True
V* AZ Aur,90.28011587687,39.67061097845,"C8,2e",10.5,0.7808,0.0353,22.12,True
Case  711,4.01725830182,56.164123124730004,C,10.5,0.249,0.024,10.37,True
[W71b] 004-01,112.46407743179002,-28.018651890430004,C,10.5,0.2667,0.0168,15.88,True
[W71b] 018-09,123.50654057822,-29.603521711410004,C,10.5,0.1283,0.023,5.58,True
CPD-68   630,110.70574228970001,-68.81457747398,,10.5,1.2261,0.0117,104.79,True
[W71b] 007-10,116.38560755414,-19.84483361297,C,10.5,0.1791,0.0253,7.08,True
[W71b] 004-03,113.80638452465001,-28.95119282738,"C6,5",10.5,0.3671,0.0189,19.42,True
[W71b] 002-04,111.48981103623,-26.98935103936,C,10.5,0.2157,0.0185,11.66,True
MC79 2-5,109.62905553965,-11.1946723021,C,10.5,0.3551,0.056,6.34,True
MC79 2-6,113.47081240628002,-6.427397434929999,C,10.5,0.0956,0.0308,3.1,False
[W71b] 044-14,142.65219392507,-50.16552048138,C,10.5,0.3019,0.0311,9.71,True
CGCS 1589,107.281107144,-49.23142250886,Ce,10.5,0.3015,0.0207,14.57,True
BM   IV  51,120.62677168944002,-30.966410781920008,C,10.5,0.1498,0.0207,7.24,True
[W71b] 010-08,117.50289810108002,-21.415529502190005,C,10.5,0.1861,0.0315,5.91,True
[W71b] 094-04,214.79094162404,-56.99463699796,C,10.5,0.58,0.0285,20.35,True
